date,open,high,low,close,pct_change,volume,ln_return
2025-11-18,6641.19,6666.63,6574.32,6617.32,-0.0083,3206050763,-0.008289161
2025-11-17,6713.61,6754.5,6638.9,6672.4,-0.0092,3074772162,-0.00920604
2025-11-14,6672.14,6774.31,6646.87,6734.11,-0.0005,3079987673,-0.000512186
2025-11-13,6826.47,6828.05,6724.72,6737.56,-0.0166,3327416477,-0.016695326
2025-11-12,6867.77,6869.91,6829.62,6850.99,0.0006,2893216944,0.000639528
2025-11-11,6815.64,6855.13,6806.87,6846.61,0.0021,2731735478,0.002067391
2025-11-10,6785.36,6841.32,6770.56,6832.47,0.0154,3063104538,0.015289426
2025-11-07,6696.18,6730.11,6631.44,6728.8,0.0012,3465872977,0.001249145
2025-11-06,6787.59,6796.68,6707.51,6720.4,-0.0112,3490889111,-0.011229198
2025-11-05,6769.77,6829.78,6763.11,6796.29,0.0036,3399909019,0.003627665
2025-11-04,6788.52,6820.21,6766.71,6771.68,-0.0117,3621727258,-0.011786992
2025-11-03,6882.32,6882.32,6820.62,6851.97,0.0017,3622492218,0.001719231
2025-10-31,6879.17,6879.17,6814.26,6840.2,0.0026,3605232916,0.002611518
2025-10-30,6860.5,6880.75,6820.69,6822.36,-0.0099,3770906264,-0.00996287
2025-10-29,6910.95,6920.34,6851.91,6890.67,0,3792475923,-3.19267E-05
2025-10-28,6897.74,6911.3,6870.73,6890.89,0.0023,3303296041,0.002286788
2025-10-27,6845.46,6877.28,6843.94,6875.15,0.0123,3194327669,0.012207766
2025-10-24,6772.07,6807.11,6772.07,6791.73,0.0079,2993300858,0.007880219
2025-10-23,6703.65,6749.53,6700.14,6738.42,0.0058,3209137365,0.005803028
2025-10-22,6741.34,6741.75,6655.69,6699.43,-0.0053,3354102234,-0.005347328
2025-10-21,6736.75,6752.16,6722.03,6735.35,0,3043562821,3.2664E-05
2025-10-20,6690.05,6744.35,6690.05,6735.13,0.0107,2602152323,0.010615706
2025-10-17,6613.27,6678.88,6603.76,6664.01,0.0053,3059569502,0.005256883
2025-10-16,6689.02,6709.34,6593.99,6629.07,-0.0063,3251153800,-0.006314245
2025-10-15,6688.27,6724.12,6612.11,6671.06,0.004,2887393046,0.004017919
2025-10-14,6602.49,6680.7,6555.07,6644.31,-0.0016,2882690556,-0.001565528
2025-10-13,6622.53,6668.68,6620.71,6654.72,0.0156,2663121077,0.015479721
2025-10-10,6740.49,6762.4,6550.78,6552.5,-0.0271,3460918622,-0.027487486
2025-10-09,6760.5,6764.58,6716.17,6735.11,-0.0028,2765734332,-0.002759322
2025-10-08,6723.87,6755.64,6718.09,6753.72,0.0058,2848890480,0.005810693
2025-10-07,6746.14,6754.49,6699.96,6714.59,-0.0038,2981260962,-0.003818696
2025-10-06,6733.86,6749.52,6717.78,6740.28,0.0036,3181286797,0.003639997
2025-10-03,6722.14,6750.87,6705.67,6715.79,0.0001,2864765461,6.55194E-05
2025-10-02,6731.31,6731.94,6693.23,6715.35,0.0006,3007639114,0.000618178
